"COMMUNE_NOM","COLL_INSEE","ENFANT_SEXE","ENFANT_PRENOM","NOMBRE_OCCURRENCES","ANNEE"
"Digne-les-Bains","04070","M","Aaron",2,2017
"Digne-les-Bains","04070","F","Abbygael",1,2017
"Digne-les-Bains","04070","F","Aby",1,2017
"Digne-les-Bains","04070","F","Abygail",1,2017
"Digne-les-Bains","04070","M","Adrian",2,2017
"Digne-les-Bains","04070","F","Airelle",1,2017
"Digne-les-Bains","04070","M","Alessio",2,2017
"Digne-les-Bains","04070","M","Alexandre",1,2017
"Digne-les-Bains","04070","M","Alexis",2,2017
"Digne-les-Bains","04070","F","Alia",1,2017
"Digne-les-Bains","04070","F","Alice",1,2017
"Digne-les-Bains","04070","F","Alicia",1,2017
"Digne-les-Bains","04070","F","Aline",1,2017
"Digne-les-Bains","04070","M","Alix",1,2017
"Digne-les-Bains","04070","F","Aliyah",1,2017
"Digne-les-Bains","04070","F","Amanda",1,2017
"Digne-les-Bains","04070","F","Amandine",1,2017
"Digne-les-Bains","04070","F","Amélia",1,2017
"Digne-les-Bains","04070","M","Amir",1,2017
"Digne-les-Bains","04070","F","Anaë",1,2017
"Digne-les-Bains","04070","F","Anaëlle",1,2017
"Digne-les-Bains","04070","F","Anaïa",1,2017
"Digne-les-Bains","04070","F","Andréa",1,2017
"Digne-les-Bains","04070","F","Anis",1,2017
"Digne-les-Bains","04070","F","Anna",2,2017
"Digne-les-Bains","04070","F","Anna-Lou",1,2017
"Digne-les-Bains","04070","F","Anna-Rose",1,2017
"Digne-les-Bains","04070","M","Anton",1,2017
"Digne-les-Bains","04070","M","Arno",1,2017
"Digne-les-Bains","04070","M","Aron",1,2017
"Digne-les-Bains","04070","M","Asaf",1,2017
"Digne-les-Bains","04070","F","Assya",1,2017
"Digne-les-Bains","04070","F","Asya",1,2017
"Digne-les-Bains","04070","F","Ayana",1,2017
"Digne-les-Bains","04070","M","Ayden",1,2017
"Digne-les-Bains","04070","M","Björn",1,2017
"Digne-les-Bains","04070","M","Brighton",1,2017
"Digne-les-Bains","04070","F","Callista",1,2017
"Digne-les-Bains","04070","F","Camélia",1,2017
"Digne-les-Bains","04070","F","Camille",2,2017
"Digne-les-Bains","04070","F","Cassandra",1,2017
"Digne-les-Bains","04070","F","Cassandre",1,2017
"Digne-les-Bains","04070","F","Cécile",1,2017
"Digne-les-Bains","04070","F","Céleste",1,2017
"Digne-les-Bains","04070","F","Célia",1,2017
"Digne-les-Bains","04070","F","Chaïma",1,2017
"Digne-les-Bains","04070","M","Charlie",2,2017
"Digne-les-Bains","04070","F","Charlotte",1,2017
"Digne-les-Bains","04070","F","Chelsea",1,2017
"Digne-les-Bains","04070","F","Chloé",1,2017
"Digne-les-Bains","04070","F","Cléa",1,2017
"Digne-les-Bains","04070","M","Clément",1,2017
"Digne-les-Bains","04070","F","Clémentine",1,2017
"Digne-les-Bains","04070","M","Côme",1,2017
"Digne-les-Bains","04070","F","Cyana",1,2017
"Digne-les-Bains","04070","M","Dany",1,2017
"Digne-les-Bains","04070","M","Deivid",1,2017
"Digne-les-Bains","04070","F","Dhélia",1,2017
"Digne-les-Bains","04070","M","Diègo",1,2017
"Digne-les-Bains","04070","F","Djomba",1,2017
"Digne-les-Bains","04070","F","Djoudy",1,2017
"Digne-les-Bains","04070","F","Eden",1,2017
"Digne-les-Bains","04070","F","Éléa",2,2017
"Digne-les-Bains","04070","F","Eleanor",1,2017
"Digne-les-Bains","04070","F","Élena",1,2017
"Digne-les-Bains","04070","F","Elia",1,2017
"Digne-les-Bains","04070","F","Élie",1,2017
"Digne-les-Bains","04070","F","Elina",1,2017
"Digne-les-Bains","04070","F","Ella",1,2017
"Digne-les-Bains","04070","F","Ellie",1,2017
"Digne-les-Bains","04070","M","Elouan",1,2017
"Digne-les-Bains","04070","M","Ely",1,2017
"Digne-les-Bains","04070","F","Éma",1,2017
"Digne-les-Bains","04070","M","Émile",1,2017
"Digne-les-Bains","04070","F","Emilia",1,2017
"Digne-les-Bains","04070","M","Emir-Aslan",1,2017
"Digne-les-Bains","04070","F","Emma",1,2017
"Digne-les-Bains","04070","F","Emy",1,2017
"Digne-les-Bains","04070","F","Enora",1,2017
"Digne-les-Bains","04070","M","Enzo",2,2017
"Digne-les-Bains","04070","F","Ereen",1,2017
"Digne-les-Bains","04070","M","Esat",1,2017
"Digne-les-Bains","04070","F","Esra",1,2017
"Digne-les-Bains","04070","M","Éthan",1,2017
"Digne-les-Bains","04070","F","Eulalie",1,2017
"Digne-les-Bains","04070","M","Evan",2,2017
"Digne-les-Bains","04070","M","Evann",1,2017
"Digne-les-Bains","04070","M","Ézio",1,2017
"Digne-les-Bains","04070","F","Fanny",1,2017
"Digne-les-Bains","04070","M","Fares",1,2017
"Digne-les-Bains","04070","F","Fatima",1,2017
"Digne-les-Bains","04070","M","Félix",1,2017
"Digne-les-Bains","04070","F","Giulia",4,2017
"Digne-les-Bains","04070","M","Goran",1,2017
"Digne-les-Bains","04070","M","Guilhem",1,2017
"Digne-les-Bains","04070","M","Guillaume",2,2017
"Digne-les-Bains","04070","F","Hailly",1,2017
"Digne-les-Bains","04070","M","Hedy",1,2017
"Digne-les-Bains","04070","F","Helena",2,2017
"Digne-les-Bains","04070","F","Helin",1,2017
"Digne-les-Bains","04070","M","Hugo",4,2017
"Digne-les-Bains","04070","M","Ilian",1,2017
"Digne-les-Bains","04070","M","Ilyam",1,2017
"Digne-les-Bains","04070","F","Inès",1,2017
"Digne-les-Bains","04070","F","Iris",1,2017
"Digne-les-Bains","04070","F","Ivana",1,2017
"Digne-les-Bains","04070","F","Jade",1,2017
"Digne-les-Bains","04070","M","Jaylen",1,2017
"Digne-les-Bains","04070","F","Jersey",1,2017
"Digne-les-Bains","04070","M","Jimi",1,2017
"Digne-les-Bains","04070","M","Jonas",1,2017
"Digne-les-Bains","04070","M","Joshua",2,2017
"Digne-les-Bains","04070","F","Judith",1,2017
"Digne-les-Bains","04070","M","Jules",2,2017
"Digne-les-Bains","04070","F","Julia",3,2017
"Digne-les-Bains","04070","M","Julian",3,2017
"Digne-les-Bains","04070","M","Justin",1,2017
"Digne-les-Bains","04070","F","Kaëlly",1,2017
"Digne-les-Bains","04070","M","Kaélys",1,2017
"Digne-les-Bains","04070","M","Kaïs",1,2017
"Digne-les-Bains","04070","F","Kalye",1,2017
"Digne-les-Bains","04070","F","Kelly",2,2017
"Digne-les-Bains","04070","F","Kellyana",1,2017
"Digne-les-Bains","04070","M","Kenny",1,2017
"Digne-les-Bains","04070","M","Kenzo",1,2017
"Digne-les-Bains","04070","M","Kien",1,2017
"Digne-les-Bains","04070","M","Killian",1,2017
"Digne-les-Bains","04070","F","Kyara",1,2017
"Digne-les-Bains","04070","M","Kylian",2,2017
"Digne-les-Bains","04070","M","Kyliane",1,2017
"Digne-les-Bains","04070","F","Lana",1,2017
"Digne-les-Bains","04070","F","Lanna",1,2017
"Digne-les-Bains","04070","M","Lassana",1,2017
