COMMUNE_NOM,COLL_INSEE,ENFANT_SEXE,ENFANT_PRENOM,NOMBRE_OCCURRENCES,ANNEE
Rennes,3238,M,Ad am,353,2016
RENNES,35238,M,AlexAndre,197,2016
rennes,35238,H,Victor,197,2016
Rennes,35238,F,Noémie,50,2015
Rennes,35238,F,Élise,46,2015
Rennes,35238,F,AssiaAmélie,44,2015
Rennes,35238,F,Capucine,43,2015
Rennes,35238,F,Ella,42,2015
Rennes,35238,F,Roxane,42,2015
Rennes,35238,F,Myriam,41,2015
Rennes,35238,F,Ines,38,2015
Rennes,35238,M,Tao,8,2012
Rennes,35238,F,Thaïs,27,2012
Rennes,35238,F,Thalia,10,2012
Rennes,35238,M,Dominique,40,2012
Rennes,35238,F,Dominique,25,2012
